C,B,A
leaving,callwild,0
led,callwild,0
led,defoe-robinson-103.txt,0
ledge,defoe-robinson-103.txt,0
ledge,callwild,0
leeward,callwild,0
leeward,defoe-robinson-103.txt,0
left,defoe-robinson-103.txt,0
left,callwild,0
leg,callwild,0
leg,defoe-robinson-103.txt,0
legged,defoe-robinson-103.txt,0
legged,callwild,0
legs,callwild,0
legs,defoe-robinson-103.txt,0
lend,defoe-robinson-103.txt,0
lend,callwild,0
less,defoe-robinson-103.txt,0
less,callwild,0
lesser,defoe-robinson-103.txt,0
lesser,callwild,0
let,defoe-robinson-103.txt,0
let,callwild,0
letter,callwild,0
letter,defoe-robinson-103.txt,0
letters,defoe-robinson-103.txt,0
letters,callwild,0
letting,defoe-robinson-103.txt,0
letting,callwild,0
level,defoe-robinson-103.txt,0
level,callwild,0
lie,callwild,0
lie,defoe-robinson-103.txt,0
life,callwild,0
life,defoe-robinson-103.txt,0
lift,callwild,0
lift,defoe-robinson-103.txt,0
lifted,callwild,0
lifted,defoe-robinson-103.txt,0
lifting,defoe-robinson-103.txt,0
lifting,callwild,0
light,callwild,0
light,defoe-robinson-103.txt,0
lightened,callwild,0
lightened,defoe-robinson-103.txt,0
lighter,callwild,0
lighter,defoe-robinson-103.txt,0
lightly,callwild,0
lightly,defoe-robinson-103.txt,0
lightning,defoe-robinson-103.txt,0
lightning,callwild,0
lights,callwild,0
lights,defoe-robinson-103.txt,0
like,defoe-robinson-103.txt,0
like,callwild,0
likely,defoe-robinson-103.txt,0
likely,callwild,0
likewise,callwild,0
likewise,defoe-robinson-103.txt,0
limb,defoe-robinson-103.txt,0
limb,callwild,0
line,defoe-robinson-103.txt,0
line,callwild,0
lip,callwild,0
lip,defoe-robinson-103.txt,0
lips,defoe-robinson-103.txt,0
lips,callwild,0
listen,defoe-robinson-103.txt,0
listen,callwild,0
listened,callwild,0
listened,defoe-robinson-103.txt,0
listening,callwild,0
listening,defoe-robinson-103.txt,0
little,defoe-robinson-103.txt,0
little,callwild,0
live,defoe-robinson-103.txt,0
live,callwild,0
lived,callwild,0
lived,defoe-robinson-103.txt,0
lively,callwild,0
lively,defoe-robinson-103.txt,0
lives,defoe-robinson-103.txt,0
lives,callwild,0
living,callwild,0
living,defoe-robinson-103.txt,0
ll,defoe-robinson-103.txt,0
ll,callwild,0
load,defoe-robinson-103.txt,0
load,callwild,0
loaded,callwild,0
loaded,defoe-robinson-103.txt,0
loaf,callwild,0
loaf,defoe-robinson-103.txt,0
lock,defoe-robinson-103.txt,0
lock,callwild,0
lodge,defoe-robinson-103.txt,0
lodge,callwild,0
log,defoe-robinson-103.txt,0
log,callwild,0
london,callwild,0
london,defoe-robinson-103.txt,0
long,defoe-robinson-103.txt,0
long,callwild,0
longer,defoe-robinson-103.txt,0
longer,callwild,0
longing,callwild,0
longing,defoe-robinson-103.txt,0
look,callwild,0
look,defoe-robinson-103.txt,0
looked,callwild,0
looked,defoe-robinson-103.txt,0
looking,callwild,0
looking,defoe-robinson-103.txt,0
loose,defoe-robinson-103.txt,0
loose,callwild,0
lord,callwild,0
lord,defoe-robinson-103.txt,0
loss,defoe-robinson-103.txt,0
loss,callwild,0
losses,callwild,0
losses,defoe-robinson-103.txt,0
lost,defoe-robinson-103.txt,0
lost,callwild,0
lot,callwild,0
lot,defoe-robinson-103.txt,0
love,callwild,0
love,defoe-robinson-103.txt,0
loved,callwild,0
loved,defoe-robinson-103.txt,0
low,defoe-robinson-103.txt,0
low,callwild,0
lower,callwild,0
lower,defoe-robinson-103.txt,0
lowered,callwild,0
lowered,defoe-robinson-103.txt,0
luck,defoe-robinson-103.txt,0
luck,callwild,0
lugged,defoe-robinson-103.txt,0
lugged,callwild,0
lust,callwild,0
lust,defoe-robinson-103.txt,0
lusty,callwild,0
lusty,defoe-robinson-103.txt,0
lying,defoe-robinson-103.txt,0
lying,callwild,0
machine,callwild,0
machine,defoe-robinson-103.txt,0
mad,callwild,0
mad,defoe-robinson-103.txt,0
made,callwild,0
made,defoe-robinson-103.txt,0
madness,callwild,0
madness,defoe-robinson-103.txt,0
main,callwild,0
main,defoe-robinson-103.txt,0
make,callwild,0
make,defoe-robinson-103.txt,0
making,defoe-robinson-103.txt,0
making,callwild,0
man,callwild,0
man,defoe-robinson-103.txt,0
manage,callwild,0
manage,defoe-robinson-103.txt,0
managed,defoe-robinson-103.txt,0
managed,callwild,0
mangled,defoe-robinson-103.txt,0
mangled,callwild,0
mankind,callwild,0
mankind,defoe-robinson-103.txt,0
manner,callwild,0
manner,defoe-robinson-103.txt,0
many,callwild,0
many,defoe-robinson-103.txt,0
march,defoe-robinson-103.txt,0
march,callwild,0
marched,defoe-robinson-103.txt,0
marched,callwild,0
marching,defoe-robinson-103.txt,0
marching,callwild,0
marked,defoe-robinson-103.txt,0
marked,callwild,0
marks,callwild,0
marks,defoe-robinson-103.txt,0
master,defoe-robinson-103.txt,0
master,callwild,0
mastered,defoe-robinson-103.txt,0
mastered,callwild,0
masters,callwild,0
masters,defoe-robinson-103.txt,0
matter,defoe-robinson-103.txt,0
matter,callwild,0
matters,callwild,0
matters,defoe-robinson-103.txt,0
may,defoe-robinson-103.txt,0
may,callwild,0
me,defoe-robinson-103.txt,0
me,callwild,0
meal,defoe-robinson-103.txt,0
meal,callwild,0
meaning,callwild,0
meaning,defoe-robinson-103.txt,0
means,callwild,0
means,defoe-robinson-103.txt,0
meant,defoe-robinson-103.txt,0
meant,callwild,0
meantime,callwild,0
meantime,defoe-robinson-103.txt,0
measured,callwild,0
measured,defoe-robinson-103.txt,0
meat,defoe-robinson-103.txt,0
meat,callwild,0
meditated,defoe-robinson-103.txt,0
meditated,callwild,0
meet,callwild,0
meet,defoe-robinson-103.txt,0
melancholy,defoe-robinson-103.txt,0
melancholy,callwild,0
memory,callwild,0
memory,defoe-robinson-103.txt,0
men,callwild,0
men,defoe-robinson-103.txt,0
mend,defoe-robinson-103.txt,0
mend,callwild,0
merciless,callwild,0
merciless,defoe-robinson-103.txt,0
mercy,defoe-robinson-103.txt,0
mercy,callwild,0
mere,defoe-robinson-103.txt,0
mere,callwild,0
merely,callwild,0
merely,defoe-robinson-103.txt,0
met,defoe-robinson-103.txt,0
met,callwild,0
method,callwild,0
method,defoe-robinson-103.txt,0
middle,callwild,0
middle,defoe-robinson-103.txt,0
midnight,callwild,0
midnight,defoe-robinson-103.txt,0
midst,defoe-robinson-103.txt,0
midst,callwild,0
might,callwild,0
might,defoe-robinson-103.txt,0
mightily,defoe-robinson-103.txt,0
mightily,callwild,0
mighty,callwild,0
mighty,defoe-robinson-103.txt,0
mile,callwild,0
mile,defoe-robinson-103.txt,0
miles,defoe-robinson-103.txt,0
miles,callwild,0
mill,callwild,0
mill,defoe-robinson-103.txt,0
mind,callwild,0
mind,defoe-robinson-103.txt,0
mine,callwild,0
mine,defoe-robinson-103.txt,0
minutes,callwild,0
minutes,defoe-robinson-103.txt,0
miracle,defoe-robinson-103.txt,0
miracle,callwild,0
miserable,callwild,0
miserable,defoe-robinson-103.txt,0
misery,defoe-robinson-103.txt,0
misery,callwild,0
missed,callwild,0
missed,defoe-robinson-103.txt,0
mistake,defoe-robinson-103.txt,0
mistake,callwild,0
mistaken,callwild,0
mistaken,defoe-robinson-103.txt,0
moisture,callwild,0
moisture,defoe-robinson-103.txt,0
moment,callwild,0
moment,defoe-robinson-103.txt,0
moments,callwild,0
moments,defoe-robinson-103.txt,0
money,defoe-robinson-103.txt,0
money,callwild,0
months,callwild,0
months,defoe-robinson-103.txt,0
moon,callwild,0
moon,defoe-robinson-103.txt,0
more,defoe-robinson-103.txt,0
more,callwild,0
morning,callwild,0
morning,defoe-robinson-103.txt,0
mortal,callwild,0
mortal,defoe-robinson-103.txt,0
most,callwild,0
most,defoe-robinson-103.txt,0
mother,defoe-robinson-103.txt,0
mother,callwild,0
motion,callwild,0
motion,defoe-robinson-103.txt,0
mountain,callwild,0
mountain,defoe-robinson-103.txt,0
mountains,defoe-robinson-103.txt,0
mountains,callwild,0
mourning,callwild,0
mourning,defoe-robinson-103.txt,0
mouth,defoe-robinson-103.txt,0
mouth,callwild,0
move,defoe-robinson-103.txt,0
move,callwild,0
moved,callwild,0
moved,defoe-robinson-103.txt,0
moving,callwild,0
moving,defoe-robinson-103.txt,0
much,defoe-robinson-103.txt,0
much,callwild,0
multiplied,defoe-robinson-103.txt,0
multiplied,callwild,0
muses,callwild,0
muses,defoe-robinson-103.txt,0
musing,defoe-robinson-103.txt,0
musing,callwild,0
must,defoe-robinson-103.txt,0
must,callwild,0
mutiny,callwild,0
mutiny,defoe-robinson-103.txt,0
muzzle,defoe-robinson-103.txt,0
muzzle,callwild,0
my,defoe-robinson-103.txt,0
my,callwild,0
mystery,defoe-robinson-103.txt,0
mystery,callwild,0
naked,callwild,0
naked,defoe-robinson-103.txt,0
name,callwild,0
name,defoe-robinson-103.txt,0
names,callwild,0
names,defoe-robinson-103.txt,0
narrow,callwild,0
narrow,defoe-robinson-103.txt,0
native,defoe-robinson-103.txt,0
native,callwild,0
nature,defoe-robinson-103.txt,0
nature,callwild,0
nay,callwild,0
nay,defoe-robinson-103.txt,0
near,callwild,0
near,defoe-robinson-103.txt,0
nearer,callwild,0
nearer,defoe-robinson-103.txt,0
necessarily,callwild,0
necessarily,defoe-robinson-103.txt,0
necessary,callwild,0
necessary,defoe-robinson-103.txt,0
necessities,callwild,0
necessities,defoe-robinson-103.txt,0
neck,defoe-robinson-103.txt,0
neck,callwild,0
need,callwild,0
need,defoe-robinson-103.txt,0
needed,defoe-robinson-103.txt,0
needed,callwild,0
needs,callwild,0
needs,defoe-robinson-103.txt,0
neither,callwild,0
neither,defoe-robinson-103.txt,0
nests,defoe-robinson-103.txt,0
nests,callwild,0
never,defoe-robinson-103.txt,0
never,callwild,0
new,defoe-robinson-103.txt,0
new,callwild,0
news,callwild,0
news,defoe-robinson-103.txt,0
next,defoe-robinson-103.txt,0
next,callwild,0
nice,callwild,0
nice,defoe-robinson-103.txt,0
night,defoe-robinson-103.txt,0
night,callwild,0
nights,callwild,0
nights,defoe-robinson-103.txt,0
nine,defoe-robinson-103.txt,0
nine,callwild,0
nineteen,callwild,0
nineteen,defoe-robinson-103.txt,0
no,callwild,0
no,defoe-robinson-103.txt,0
nobody,defoe-robinson-103.txt,0
nobody,callwild,0
noise,defoe-robinson-103.txt,0
noise,callwild,0
noises,defoe-robinson-103.txt,0
noises,callwild,0
none,defoe-robinson-103.txt,0
none,callwild,0
nor,defoe-robinson-103.txt,0
nor,callwild,0
north,callwild,0
north,defoe-robinson-103.txt,0
nose,defoe-robinson-103.txt,0
nose,callwild,0
not,defoe-robinson-103.txt,0
not,callwild,0
notches,defoe-robinson-103.txt,0
notches,callwild,0
note,callwild,0
note,defoe-robinson-103.txt,0
noted,defoe-robinson-103.txt,0
noted,callwild,0
nothing,callwild,0
nothing,defoe-robinson-103.txt,0
notice,callwild,0
notice,defoe-robinson-103.txt,0
now,defoe-robinson-103.txt,0
now,callwild,0
nowhere,defoe-robinson-103.txt,0
nowhere,callwild,0
nursing,callwild,0
nursing,defoe-robinson-103.txt,0
o,callwild,0
o,defoe-robinson-103.txt,0
oath,defoe-robinson-103.txt,0
oath,callwild,0
obedience,callwild,0
obedience,defoe-robinson-103.txt,0
obey,callwild,0
obey,defoe-robinson-103.txt,0
obeyed,defoe-robinson-103.txt,0
obeyed,callwild,0
observed,callwild,0
observed,defoe-robinson-103.txt,0
obtained,callwild,0
obtained,defoe-robinson-103.txt,0
occasion,callwild,0
occasion,defoe-robinson-103.txt,0
occasions,defoe-robinson-103.txt,0
occasions,callwild,0
odd,defoe-robinson-103.txt,0
odd,callwild,0
odds,defoe-robinson-103.txt,0
odds,callwild,0
of,callwild,0
of,defoe-robinson-103.txt,0
off,defoe-robinson-103.txt,0
off,callwild,0
offence,defoe-robinson-103.txt,0
offence,callwild,0
offensive,defoe-robinson-103.txt,0
offensive,callwild,0
offer,defoe-robinson-103.txt,0
offer,callwild,0
offered,defoe-robinson-103.txt,0
offered,callwild,0
offering,callwild,0
offering,defoe-robinson-103.txt,0
office,defoe-robinson-103.txt,0
office,callwild,0
often,callwild,0
often,defoe-robinson-103.txt,0
oftener,defoe-robinson-103.txt,0
oftener,callwild,0
oh,callwild,0
oh,defoe-robinson-103.txt,0
old,callwild,0
old,defoe-robinson-103.txt,0
older,callwild,0
older,defoe-robinson-103.txt,0
oldest,defoe-robinson-103.txt,0
oldest,callwild,0
on,callwild,0
on,defoe-robinson-103.txt,0
once,callwild,0
once,defoe-robinson-103.txt,0
one,callwild,0
one,defoe-robinson-103.txt,0
ones,defoe-robinson-103.txt,0
ones,callwild,0
only,callwild,0
only,defoe-robinson-103.txt,0
open,callwild,0
open,defoe-robinson-103.txt,0
opened,callwild,0
opened,defoe-robinson-103.txt,0
opening,defoe-robinson-103.txt,0
opening,callwild,0
openly,defoe-robinson-103.txt,0
openly,callwild,0
opportunity,callwild,0
opportunity,defoe-robinson-103.txt,0
opposite,defoe-robinson-103.txt,0
opposite,callwild,0
oppressed,callwild,0
oppressed,defoe-robinson-103.txt,0
or,defoe-robinson-103.txt,0
or,callwild,0
order,defoe-robinson-103.txt,0
order,callwild,0
orders,defoe-robinson-103.txt,0
orders,callwild,0
ordinary,callwild,0
ordinary,defoe-robinson-103.txt,0
original,defoe-robinson-103.txt,0
original,callwild,0
other,defoe-robinson-103.txt,0
other,callwild,0
others,callwild,0
others,defoe-robinson-103.txt,0
our,defoe-robinson-103.txt,0
our,callwild,0
out,callwild,0
out,defoe-robinson-103.txt,0
outer,defoe-robinson-103.txt,0
outer,callwild,0
outside,callwild,0
outside,defoe-robinson-103.txt,0
over,callwild,0
over,defoe-robinson-103.txt,0
overlooked,callwild,0
overlooked,defoe-robinson-103.txt,0
overtaken,defoe-robinson-103.txt,0
overtaken,callwild,0
overthrown,defoe-robinson-103.txt,0
overthrown,callwild,0
own,callwild,0
own,defoe-robinson-103.txt,0
owners,defoe-robinson-103.txt,0
owners,callwild,0
pace,callwild,0
pace,defoe-robinson-103.txt,0
pack,callwild,0
pack,defoe-robinson-103.txt,0
packed,callwild,0
packed,defoe-robinson-103.txt,0
paid,callwild,0
paid,defoe-robinson-103.txt,0
pain,callwild,0
pain,defoe-robinson-103.txt,0
painful,callwild,0
painful,defoe-robinson-103.txt,0
pains,defoe-robinson-103.txt,0
pains,callwild,0
pair,defoe-robinson-103.txt,0
pair,callwild,0
pale,callwild,0
pale,defoe-robinson-103.txt,0
pan,defoe-robinson-103.txt,0
pan,callwild,0
parcels,defoe-robinson-103.txt,0
parcels,callwild,0
parched,defoe-robinson-103.txt,0
parched,callwild,0
part,callwild,0
part,defoe-robinson-103.txt,0
particular,callwild,0
particular,defoe-robinson-103.txt,0
particularly,defoe-robinson-103.txt,0
particularly,callwild,0
partly,defoe-robinson-103.txt,0
partly,callwild,0
partners,callwild,0
partners,defoe-robinson-103.txt,0
parts,callwild,0
parts,defoe-robinson-103.txt,0
party,callwild,0
party,defoe-robinson-103.txt,0
pass,defoe-robinson-103.txt,0
pass,callwild,0
passage,callwild,0
passage,defoe-robinson-103.txt,0
passed,defoe-robinson-103.txt,0
passed,callwild,0
passes,callwild,0
passes,defoe-robinson-103.txt,0
passing,defoe-robinson-103.txt,0
passing,callwild,0
passion,callwild,0
passion,defoe-robinson-103.txt,0
passionate,callwild,0
passionate,defoe-robinson-103.txt,0
past,callwild,0
past,defoe-robinson-103.txt,0
patience,defoe-robinson-103.txt,0
patience,callwild,0
pause,defoe-robinson-103.txt,0
pause,callwild,0
pay,callwild,0
pay,defoe-robinson-103.txt,0
peace,callwild,0
peace,defoe-robinson-103.txt,0
penetrated,defoe-robinson-103.txt,0
penetrated,callwild,0
pent,callwild,0
pent,defoe-robinson-103.txt,0
people,callwild,0
people,defoe-robinson-103.txt,0
perceived,defoe-robinson-103.txt,0
perceived,callwild,0
perceiving,defoe-robinson-103.txt,0
perceiving,callwild,0
perfect,callwild,0
perfect,defoe-robinson-103.txt,0
performance,defoe-robinson-103.txt,0
performance,callwild,0
performed,callwild,0
performed,defoe-robinson-103.txt,0
perhaps,callwild,0
perhaps,defoe-robinson-103.txt,0
permitted,defoe-robinson-103.txt,0
permitted,callwild,0
perplexed,callwild,0
perplexed,defoe-robinson-103.txt,0
physical,defoe-robinson-103.txt,0
physical,callwild,0
pick,defoe-robinson-103.txt,0
pick,callwild,0
picked,callwild,0
picked,defoe-robinson-103.txt,0
picking,defoe-robinson-103.txt,0
picking,callwild,0
piece,defoe-robinson-103.txt,0
piece,callwild,0
pieces,callwild,0
pieces,defoe-robinson-103.txt,0
pile,callwild,0
pile,defoe-robinson-103.txt,0
piled,callwild,0
piled,defoe-robinson-103.txt,0
pipe,defoe-robinson-103.txt,0
pipe,callwild,0
pipes,callwild,0
pipes,defoe-robinson-103.txt,0
pistol,defoe-robinson-103.txt,0
pistol,callwild,0
pitch,defoe-robinson-103.txt,0
pitch,callwild,0
pitched,defoe-robinson-103.txt,0
pitched,callwild,0
place,defoe-robinson-103.txt,0
place,callwild,0
placed,defoe-robinson-103.txt,0
placed,callwild,0
places,callwild,0
places,defoe-robinson-103.txt,0
plain,callwild,0
plain,defoe-robinson-103.txt,0
plainly,defoe-robinson-103.txt,0
plainly,callwild,0
plant,defoe-robinson-103.txt,0
plant,callwild,0
play,defoe-robinson-103.txt,0
play,callwild,0
played,callwild,0
played,defoe-robinson-103.txt,0
pleased,callwild,0
pleased,defoe-robinson-103.txt,0
plenty,defoe-robinson-103.txt,0
plenty,callwild,0
plunged,defoe-robinson-103.txt,0
plunged,callwild,0
plunging,callwild,0
plunging,defoe-robinson-103.txt,0
point,callwild,0
point,defoe-robinson-103.txt,0
pointed,callwild,0
pointed,defoe-robinson-103.txt,0
pointing,defoe-robinson-103.txt,0
pointing,callwild,0
points,callwild,0
points,defoe-robinson-103.txt,0
pole,callwild,0
pole,defoe-robinson-103.txt,0
poor,defoe-robinson-103.txt,0
poor,callwild,0
poorer,callwild,0
poorer,defoe-robinson-103.txt,0
position,callwild,0
position,defoe-robinson-103.txt,0
positive,callwild,0
positive,defoe-robinson-103.txt,0
possessed,defoe-robinson-103.txt,0
possessed,callwild,0
possession,callwild,0
possession,defoe-robinson-103.txt,0
possibility,callwild,0
possibility,defoe-robinson-103.txt,0
possible,defoe-robinson-103.txt,0
possible,callwild,0
possibly,defoe-robinson-103.txt,0
possibly,callwild,0
pouch,defoe-robinson-103.txt,0
pouch,callwild,0
pound,defoe-robinson-103.txt,0
pound,callwild,0
pounds,defoe-robinson-103.txt,0
pounds,callwild,0
poured,defoe-robinson-103.txt,0
poured,callwild,0
power,callwild,0
power,defoe-robinson-103.txt,0
practised,defoe-robinson-103.txt,0
practised,callwild,0
praise,defoe-robinson-103.txt,0
praise,callwild,0
prayed,callwild,0
prayed,defoe-robinson-103.txt,0
precious,callwild,0
precious,defoe-robinson-103.txt,0
precipitate,defoe-robinson-103.txt,0
precipitate,callwild,0
prepared,callwild,0
prepared,defoe-robinson-103.txt,0
preparing,defoe-robinson-103.txt,0
preparing,callwild,0
presence,defoe-robinson-103.txt,0
presence,callwild,0
present,callwild,0
present,defoe-robinson-103.txt,0
presently,callwild,0
presently,defoe-robinson-103.txt,0
preserver,defoe-robinson-103.txt,0
preserver,callwild,0
pressed,defoe-robinson-103.txt,0
pressed,callwild,0
pretty,callwild,0
pretty,defoe-robinson-103.txt,0
prevent,defoe-robinson-103.txt,0
prevent,callwild,0
prevented,defoe-robinson-103.txt,0
prevented,callwild,0
prey,callwild,0
prey,defoe-robinson-103.txt,0
price,callwild,0
price,defoe-robinson-103.txt,0
pride,callwild,0
pride,defoe-robinson-103.txt,0
primitive,callwild,0
primitive,defoe-robinson-103.txt,0
principally,callwild,0
principally,defoe-robinson-103.txt,0
private,defoe-robinson-103.txt,0
private,callwild,0
proceeded,defoe-robinson-103.txt,0
proceeded,callwild,0
promise,defoe-robinson-103.txt,0
promise,callwild,0
promises,callwild,0
promises,defoe-robinson-103.txt,0
prompting,callwild,0
prompting,defoe-robinson-103.txt,0
proper,defoe-robinson-103.txt,0
proper,callwild,0
property,defoe-robinson-103.txt,0
property,callwild,0
proportion,defoe-robinson-103.txt,0
proportion,callwild,0
prosper,callwild,0
prosper,defoe-robinson-103.txt,0
protect,defoe-robinson-103.txt,0
protect,callwild,0
protection,defoe-robinson-103.txt,0
protection,callwild,0
proved,callwild,0
proved,defoe-robinson-103.txt,0
public,defoe-robinson-103.txt,0
public,callwild,0
pull,callwild,0
pull,defoe-robinson-103.txt,0
pulled,defoe-robinson-103.txt,0
pulled,callwild,0
pulling,callwild,0
pulling,defoe-robinson-103.txt,0
pulse,callwild,0
pulse,defoe-robinson-103.txt,0
pumping,defoe-robinson-103.txt,0
pumping,callwild,0
punish,defoe-robinson-103.txt,0
punish,callwild,0
punished,callwild,0
punished,defoe-robinson-103.txt,0
punishment,callwild,0
punishment,defoe-robinson-103.txt,0
purposely,defoe-robinson-103.txt,0
purposely,callwild,0
pursued,defoe-robinson-103.txt,0
pursued,callwild,0
pursuit,defoe-robinson-103.txt,0
pursuit,callwild,0
pushed,callwild,0
pushed,defoe-robinson-103.txt,0
put,callwild,0
put,defoe-robinson-103.txt,0
putting,defoe-robinson-103.txt,0
putting,callwild,0
puzzled,defoe-robinson-103.txt,0
puzzled,callwild,0
quality,defoe-robinson-103.txt,0
quality,callwild,0
quarrel,defoe-robinson-103.txt,0
quarrel,callwild,0
quarter,callwild,0
quarter,defoe-robinson-103.txt,0
quarters,callwild,0
quarters,defoe-robinson-103.txt,0
quick,defoe-robinson-103.txt,0
quick,callwild,0
quickly,callwild,0
quickly,defoe-robinson-103.txt,0
quiet,callwild,0
quiet,defoe-robinson-103.txt,0
quietly,callwild,0
quietly,defoe-robinson-103.txt,0
quite,callwild,0
quite,defoe-robinson-103.txt,0
race,callwild,0
race,defoe-robinson-103.txt,0
raft,defoe-robinson-103.txt,0
raft,callwild,0
rage,callwild,0
rage,defoe-robinson-103.txt,0
raging,defoe-robinson-103.txt,0
raging,callwild,0
rain,callwild,0
rain,defoe-robinson-103.txt,0
raised,defoe-robinson-103.txt,0
raised,callwild,0
rake,defoe-robinson-103.txt,0
rake,callwild,0
ran,defoe-robinson-103.txt,0
ran,callwild,0
ranging,callwild,0
ranging,defoe-robinson-103.txt,0
rapid,callwild,0
rapid,defoe-robinson-103.txt,0
rather,callwild,0
rather,defoe-robinson-103.txt,0
ravenous,defoe-robinson-103.txt,0
ravenous,callwild,0
re,callwild,0
re,defoe-robinson-103.txt,0
reach,defoe-robinson-103.txt,0
reach,callwild,0
reached,defoe-robinson-103.txt,0
reached,callwild,0
reaches,callwild,0
reaches,defoe-robinson-103.txt,0
reaching,callwild,0
reaching,defoe-robinson-103.txt,0
read,defoe-robinson-103.txt,0
read,callwild,0
reading,callwild,0
reading,defoe-robinson-103.txt,0
ready,defoe-robinson-103.txt,0
ready,callwild,0
real,defoe-robinson-103.txt,0
real,callwild,0
really,callwild,0
really,defoe-robinson-103.txt,0
rear,callwild,0
rear,defoe-robinson-103.txt,0
reason,defoe-robinson-103.txt,0
reason,callwild,0
rebel,defoe-robinson-103.txt,0
rebel,callwild,0
rebels,callwild,0
rebels,defoe-robinson-103.txt,0
receive,callwild,0
receive,defoe-robinson-103.txt,0
received,callwild,0
received,defoe-robinson-103.txt,0
receiving,defoe-robinson-103.txt,0
receiving,callwild,0
recover,callwild,0
recover,defoe-robinson-103.txt,0
recovered,callwild,0
recovered,defoe-robinson-103.txt,0
recovery,callwild,0
recovery,defoe-robinson-103.txt,0
red,callwild,0
red,defoe-robinson-103.txt,0
refreshed,callwild,0
refreshed,defoe-robinson-103.txt,0
refused,callwild,0
refused,defoe-robinson-103.txt,0
regular,defoe-robinson-103.txt,0
regular,callwild,0
regularly,defoe-robinson-103.txt,0
regularly,callwild,0
reign,defoe-robinson-103.txt,0
reign,callwild,0
relations,callwild,0
relations,defoe-robinson-103.txt,0
released,callwild,0
released,defoe-robinson-103.txt,0
relief,callwild,0
relief,defoe-robinson-103.txt,0
remain,defoe-robinson-103.txt,0
remain,callwild,0
remainder,defoe-robinson-103.txt,0
remainder,callwild,0
remained,defoe-robinson-103.txt,0
remained,callwild,0
remarkable,callwild,0
remarkable,defoe-robinson-103.txt,0
remedy,callwild,0
remedy,defoe-robinson-103.txt,0
remember,callwild,0
remember,defoe-robinson-103.txt,0
remembered,defoe-robinson-103.txt,0
remembered,callwild,0
remotest,defoe-robinson-103.txt,0
remotest,callwild,0
removed,defoe-robinson-103.txt,0
removed,callwild,0
rent,defoe-robinson-103.txt,0
rent,callwild,0
repeated,callwild,0
repeated,defoe-robinson-103.txt,0
replied,callwild,0
replied,defoe-robinson-103.txt,0
repose,defoe-robinson-103.txt,0
repose,callwild,0
reproof,defoe-robinson-103.txt,0
reproof,callwild,0
required,callwild,0
required,defoe-robinson-103.txt,0
rescued,callwild,0
rescued,defoe-robinson-103.txt,0
reserve,callwild,0
reserve,defoe-robinson-103.txt,0
reserved,callwild,0
reserved,defoe-robinson-103.txt,0
resist,callwild,0
resist,defoe-robinson-103.txt,0
resolved,defoe-robinson-103.txt,0
resolved,callwild,0
respect,callwild,0
respect,defoe-robinson-103.txt,0
rest,callwild,0
rest,defoe-robinson-103.txt,0
rested,defoe-robinson-103.txt,0
rested,callwild,0
resting,callwild,0
resting,defoe-robinson-103.txt,0
return,defoe-robinson-103.txt,0
return,callwild,0
returned,defoe-robinson-103.txt,0
returned,callwild,0
returning,callwild,0
returning,defoe-robinson-103.txt,0
revelation,defoe-robinson-103.txt,0
revelation,callwild,0
rewarded,defoe-robinson-103.txt,0
rewarded,callwild,0
rid,callwild,0
rid,defoe-robinson-103.txt,0
ride,callwild,0
ride,defoe-robinson-103.txt,0
ridiculous,callwild,0
ridiculous,defoe-robinson-103.txt,0
riding,defoe-robinson-103.txt,0
riding,callwild,0
right,defoe-robinson-103.txt,0
right,callwild,0
ring,callwild,0
ring,defoe-robinson-103.txt,0
ripe,callwild,0
ripe,defoe-robinson-103.txt,0
ripped,defoe-robinson-103.txt,0
ripped,callwild,0
rippling,defoe-robinson-103.txt,0
rippling,callwild,0
rise,callwild,0
rise,defoe-robinson-103.txt,0
rising,callwild,0
rising,defoe-robinson-103.txt,0
risks,defoe-robinson-103.txt,0
risks,callwild,0
river,callwild,0
river,defoe-robinson-103.txt,0
rivers,callwild,0
rivers,defoe-robinson-103.txt,0
road,callwild,0
road,defoe-robinson-103.txt,0
roar,defoe-robinson-103.txt,0
roar,callwild,0
roaring,defoe-robinson-103.txt,0
roaring,callwild,0
rob,defoe-robinson-103.txt,0
rob,callwild,0
rock,defoe-robinson-103.txt,0
rock,callwild,0
rocks,defoe-robinson-103.txt,0
rocks,callwild,0
rode,defoe-robinson-103.txt,0
rode,callwild,0
rolled,callwild,0
rolled,defoe-robinson-103.txt,0
rolling,defoe-robinson-103.txt,0
rolling,callwild,0
rolls,callwild,0
rolls,defoe-robinson-103.txt,0
roof,defoe-robinson-103.txt,0
roof,callwild,0
room,defoe-robinson-103.txt,0
room,callwild,0
rope,defoe-robinson-103.txt,0
rope,callwild,0
ropes,defoe-robinson-103.txt,0
ropes,callwild,0
rose,defoe-robinson-103.txt,0
rose,callwild,0
rotten,defoe-robinson-103.txt,0
rotten,callwild,0
rough,callwild,0
rough,defoe-robinson-103.txt,0
rounded,callwild,0
rounded,defoe-robinson-103.txt,0
roused,callwild,0
roused,defoe-robinson-103.txt,0
row,defoe-robinson-103.txt,0
row,callwild,0
rows,callwild,0
rows,defoe-robinson-103.txt,0
rubbed,defoe-robinson-103.txt,0
rubbed,callwild,0
rule,defoe-robinson-103.txt,0
rule,callwild,0
run,callwild,0
